order id,customer id,product id,order status,payment id,order date,shipping id,Is old customer,feedback,'quantity':'cost'
1,1000,CHR102,Cancelled,3,3/20/2024,1,No,2,'7': '126.8240468'
2,1000,SCB101,Completed,5,4/20/2024,4,No,3,'3': '55.75928829'
3,1002,DSK103,Completed,3,10/17/2023,3,No,3,'4': '136.8895794'
4,1002,CHR102,Completed,2,8/9/2024,4,Yes,2,'4': '125.2583178'
5,1003,CHR101,Completed,2,5/21/2024,3,Yes,5,'2': '4.189729272'
6,1004,CHR101,Completed,3,5/26/2024,1,No,5,'4': '3.770756345'
7,1005,BSF101,Completed,5,1/30/2024,4,No,3,'9': '69.02969117'
8,1005,DSK103,Completed,4,6/24/2024,4,No,3,'9': '121.6796261'
9,1006,CHR102,Cancelled,4,10/3/2023,1,No,2,'7': '126.8240468'
10,1006,DSK103,Completed,2,1/1/2024,3,Yes,3,'9': '136.8895794'
11,1006,SCB101,Completed,5,6/25/2024,4,Yes,3,'10': '55.75928829'
12,1007,CHR102,Cancelled,3,11/7/2023,4,No,2,'9': '125.2583178'
13,1008,BSF101,Completed,2,9/25/2023,3,No,3,'4': '77.65840257'
14,1011,CHR102,Completed,3,7/7/2024,1,No,2,'10': '126.8240468'
15,1013,CHR102,Cancelled,5,3/18/2024,4,No,2,'7': '125.2583178'
16,1014,BSF101,Cancelled,3,1/2/2024,1,No,3,'6': '69.89256231'
17,1014,CHR102,Completed,2,5/18/2024,1,Yes,2,'6': '126.8240468'
18,1015,CHR101,Completed,5,9/2/2024,1,No,5,'4': '3.770756345'
19,1016,CHR101,Completed,5,7/7/2024,4,Yes,5,'5': '3.724203797'
20,1018,CHR101,Completed,5,7/23/2024,3,No,5,'6': '4.189729272'
21,1019,CHR101,Cancelled,2,3/14/2024,3,No,5,'4': '4.189729272'
22,1019,SCB101,Completed,2,4/20/2024,3,No,3,'4': '62.72919932'
23,1019,BSF101,Cancelled,5,7/21/2024,3,Yes,3,'1': '77.65840257'
24,1020,BSF101,Cancelled,4,12/2/2023,3,No,3,'4': '77.65840257'
25,1021,BSF101,Completed,2,3/20/2024,4,Yes,3,'1': '69.02969117'
26,1022,BSF101,Cancelled,5,4/27/2024,4,No,3,'8': '69.02969117'
27,1024,CHR102,Completed,2,7/10/2024,4,No,2,'2': '125.2583178'
28,1025,DSK103,Completed,4,1/29/2024,4,No,3,'6': '121.6796261'
29,1025,CHR101,Completed,2,8/28/2024,3,No,5,'4': '4.189729272'
30,1027,CHR102,Completed,5,11/28/2023,4,No,2,'6': '125.2583178'
31,1028,BSF101,Completed,4,11/30/2023,4,No,3,'8': '69.02969117'
32,1030,BSF101,completed,4,2/27/2024,3,No,3,'5': '77.65840257'
33,1031,BSF101,Completed,4,1/21/2024,3,No,3,'7': '77.65840257'
34,1031,CHR101,Completed,4,9/3/2024,4,No,5,'5': '3.724203797'
35,1033,SCB101,Completed,4,11/30/2023,4,No,3,'4': '55.75928829'
36,1033,CHR102,Completed,4,1/12/2024,1,No,2,'4': '126.8240468'
37,1035,CHR101,Completed,2,9/24/2023,1,No,5,'9': '3.770756345'
38,1035,CHR101,Completed,2,3/25/2024,1,Yes,5,'3': '3.770756345'
39,1036,CHR102,Cancelled,4,10/12/2023,1,Yes,2,'5': '126.8240468'
40,1036,CHR102,Cancelled,5,1/28/2024,3,Yes,2,'1': '140.9156075'
41,1038,BSF101,Completed,5,7/8/2024,4,No,3,'5': '69.02969117'
42,1038,BSF101,Completed,2,7/29/2024,1,Yes,3,'6': '69.89256231'
43,1038,CHR101,completed,4,8/17/2024,3,No,5,'7': '4.189729272'
44,1038,CHR102,Completed,4,9/23/2024,4,No,2,'7': '125.2583178'
45,1039,SCB101,Completed,3,8/31/2024,1,No,3,'7': '56.45627939'
46,1040,CHR102,Completed,3,10/16/2023,1,Yes,2,'8': '126.8240468'
47,1042,CHR101,Cancelled,3,6/26/2024,4,No,5,'7': '3.724203797'
48,1042,BSF101,Completed,2,7/16/2024,4,No,3,'7': '69.02969117'
49,1043,CHR101,Completed,4,3/5/2024,4,No,5,'10': '3.724203797'
50,1047,SCB101,Completed,4,12/11/2023,3,No,3,'10': '62.72919932'
51,1048,SCB101,Cancelled,4,10/28/2023,3,No,3,'10': '62.72919932'
52,1049,CHR101,Completed,5,6/25/2024,1,No,5,'7': '3.770756345'
53,1052,BSF101,cancelled,2,8/3/2024,1,No,3,'6': '69.89256231'
54,1053,DSK103,Completed,4,12/20/2023,1,No,3,'9': '123.2006214'
55,1054,CHR101,Completed,5,5/8/2024,1,Yes,5,'3': '3.770756345'
56,1056,DSK103,Completed,3,4/27/2024,4,No,3,'4': '121.6796261'
57,1057,BSF101,Cancelled,5,10/22/2023,3,No,3,'9': '77.65840257'
58,1057,SCB101,Cancelled,4,3/28/2024,3,No,3,'6': '62.72919932'
59,1058,CHR101,Completed,5,6/12/2024,4,No,5,'8': '3.724203797'
60,1058,CHR102,Cancelled,3,7/8/2024,3,No,2,'5': '140.9156075'
61,1059,DSK103,Completed,5,2/22/2024,4,No,3,'7': '121.6796261'
62,1059,DSK103,Completed,4,6/27/2024,3,No,3,'1': '136.8895794'
63,1060,DSK103,Completed,3,9/28/2023,1,Yes,3,'4': '123.2006214'
64,1060,SCB101,Completed,5,12/7/2023,4,Yes,3,'6': '55.75928829'
65,1060,CHR102,Completed,5,1/29/2024,4,No,2,'2': '125.2583178'
66,1061,SCB101,Completed,2,10/25/2023,1,Yes,3,'8': '56.45627939'
67,1061,DSK103,Completed,5,5/21/2024,3,No,3,'1': '136.8895794'
68,1062,CHR102,Completed,4,3/23/2024,1,No,2,'8': '126.8240468'
